SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1359 Scott St,San Francisco,CA,94115,998000,2,2.0,Western Addition,1351,,1987,1,739,550,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1359-Scott-St-94115/home/594037,San Francisco MLS,463675,N,Y,37.782414,-122.437861
MLS Listing,,Single Family Residential,2207 19th Ave,San Francisco,CA,94116,898000,2,1.0,Parkside,1300,2060,1927,1,691,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/2207-19th-Ave-94116/home/1404040,San Francisco MLS,463676,N,Y,37.746562,-122.4762059
MLS Listing,,Single Family Residential,1715 38th Ave,SAN FRANCISCO,CA,94122,1249000,3,3.0,SAN FRANCISCO,1943,2962,1941,7,643,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1715-38th-Ave-94122/home/1376775,MLSListings,ML81680659,N,Y,37.75486,-122.4971975
MLS Listing,,Condo/Co-op,3418 26th St #8,SAN FRANCISCO,CA,94110,949000,2,2.0,SAN FRANCISCO,795,3969,2014,9,1194,615,Active,,,http://www.redfin.com/CA/San-Francisco/3418-26th-St-94110/unit-8/home/110052013,MLSListings,ML81679903,N,Y,37.7491644,-122.4190008
MLS Listing,,Single Family Residential,2767 37th Ave,SAN FRANCISCO,CA,94116,1249000,3,2.0,SAN FRANCISCO,1723,3000,1947,15,725,,Active,,,http://www.redfin.com/CA/San-Francisco/2767-37th-Ave-94116/home/1478066,MLSListings,ML81679550,N,Y,37.7353501,-122.4947599
MLS Listing,,Condo/Co-op,855 Folsom St #341,San Francisco,CA,94107,849000,1,1.5,San Francisco County,,55687,2001,53,,523,Active,October-15-2017 02:00 PM,October-15-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-341/home/12397486,BAREIS,21719773,N,Y,37.7807737,-122.4021633
MLS Listing,,Multi-Family (5+ Unit),1287-1295 Green St,San Francisco,CA,94109,4795000,12,,Russian Hill,7092,2883,1907,1,676,,Active,,,http://www.redfin.com/CA/San-Francisco/1295-Green-St-94109/home/144055946,San Francisco MLS,463930,N,Y,37.797959,-122.4202926
MLS Listing,,Condo/Co-op,175 Red Rock Way Unit 107K,SAN FRANCISCO,CA,94131,499888,0,1.0,SAN FRANCISCO,592,7021,1972,1,844,400,Active,October-14-2017 01:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/175-Red-Rock-Way-94131/unit-107K/home/2001955,MLSListings,ML81680286,N,Y,37.7456722,-122.4423641
MLS Listing,,Condo/Co-op,631 Ofarrell St #604,San Francisco,CA,94109,489000,0,1.0,Downtown,520,,1930,1,940,485,Active,October-15-2017 01:00 PM,October-15-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/631-O-Farrell-St-94109/unit-604/home/1187982,San Francisco MLS,463718,N,Y,37.7852565,-122.4151645
MLS Listing,,Condo/Co-op,72 Townsend #804,San Francisco,CA,94107,1550000,2,2.0,South Beach,,,2015,1,,849,Active,October-14-2017 11:00 AM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/72-Townsend-St-94107/unit-804/home/110052827,San Francisco MLS,463904,N,Y,37.7812595,-122.3902125
